URL;Type;Acteur;ThŠme;Poids;Date;Lu ;Position
https://www.appsystem.fr/162386/alerte-emojis-roux-arrivent-ios/;Blog;;Les ‚mojis pour la lutte contre la discrimination;;20/01/2017;oui;
http://www.influencia.net/fr/actualites/media-com,image,emojis-boostent-interaction-sur-instagram,7048.html;Blog;;Les ‚mojis boostent l'interaction sur Instagram;;29/01/2017;non;
https://www.quintly.com/blog/2017/01/instagram-emoji-study-higher-interactions/;Blog;;Instagram Emoji Study ? Emojis lead to higher interactions;;24/01/2017;non;
http://www.lesinrocks.com/2014/08/21/medias/les-emoji-en-train-creer-nouveau-langage-11520266/;(M‚dia);;Les ‚mojis sont en train de cr‚er un nouveau langage;;21/08/2014;non;
http://information.tv5monde.com/terriennes/les-femmes-enfin-mieux-representees-dans-les-emojis-136970;(M‚dia);;Une meilleure repr‚sentation (plus ‚galitaire) des femme … travers les ‚mojis;;04/11/2016;oui;
http://www.lepoint.fr/presidentielle/la-presidentielle-2017-vue-par-les-emojis-et-les-hashtags-03-02-2017-2102108_3121.php;(M‚dia);;La pr‚sidentielle 2017 vue par les ‚mojis;;03/02/2017;oui;
http://www.midilibre.fr/2016/12/16/dix-choses-que-vous-ne-saviez-peut-etre-pas-sur-les-emojis,1441575.php;Blog;;Diversit‚ des ‚mojis;;09/11/2016;oui;
https://twitter.com/jenny8lee/status/796873621746556928;tweet;;Hijab ‚moji;;10/11/2016;oui;
http://www.eonline.com/fr/news/801146/decouvrez-les-premieres-images-du-film-sur-les-emojis-qui-sortira-l-automne-prochain;Blog;;Emoji's film;;12/10/2016;oui;
http://madame.lefigaro.fr/societe/les-emojis-ont-ils-un-sexe-060217-129553;(M‚dia);;Le sexe des ‚mojis? ;;06/02/2017;non;
http://www.lessentiel.lu/fr/lifestyle/story/Voici-les-emojis-les-plus-efficaces-pour-la-drague-11796355;Blog;;Les ‚mojis et la drague;;17/04/2017;non;
https://rslnmag.fr/les-emojis-un-langage/;(M‚dia);;Les ‚mojis un langage? ;;05/05/2015;non;
http://lexpansion.lexpress.fr/high-tech/les-emojis-que-vous-utilisez-revelent-en-partie-votre-personnalite_1782905.html;(M‚dia);;Les ‚mojis r‚vŠleraient la personnalit‚? ;;15/04/2016;non;
